id,titulo,anio,editorial_institucion,tipo_doc,pais,departamento,nombre_revista_compilacion,numero_revista,autor,ciudad,temas,url,obs,img,file_img
386,Factores sociales y económicos que generan vulnerabilidad a la violencia e inseguridad ciudadana en la Región Metropolitana de Cochabamba,2016,"CESU - UMSS,DICyT,IIACH - UMSS,CEP",ensayo,Bolivia,Cochabamba,Violencias e inseguridad ciudadana en la región metropolitana de Cochabamba,,Camacho M.,Cochabamba,"inseguridad ciudadana,desigualdad",https://es.scribd.com/document/342826115/Violencia-e-Inseguridad-Ciudadana-en-la-Region-Metropolitana-de-Cochabamba,,https://labtecnosocial.org/explora-bib/urbana/386.jpeg,386.jpeg
387,"Estado de Situación 2016: Bolivia, Seguridad Alimentaria y Planificación Territorial",2016,Fundación Alternativas,informe,Bolivia,,,,Kronk S.,Urbanización boliviana,seguridad alimentaria,https://alternativascc.org/wp-content/uploads/2018/05/Bolivia_Seg-Alimentaria-y-Planificacion-Territorial-2016.pdf,,https://labtecnosocial.org/explora-bib/urbana/387.jpeg,387.jpeg
388,"Estado de Situación 2016: Bolivia, Seguridad Alimentaria y Cambio Climático",2016,Fundación Alternativas,informe,Bolivia,,,,Malloy M.,Urbanización boliviana,seguridad alimentaria,https://alternativascc.org/wp-content/uploads/2018/05/Bolivia_Seg-Alimentaria-y-Cambio-Climatico-2016.pdf,,https://labtecnosocial.org/explora-bib/urbana/388.jpeg,388.jpeg
389,"Estado de Situación 2016: Bolivia, Seguridad Alimentaria y Economía Agrícola",2016,Fundación Alternativas,informe,Bolivia,,,,Malloy M.,Urbanización boliviana,seguridad alimentaria,https://alternativascc.org/wp-content/uploads/2018/05/Bolivia_Seg-Alimentaria-y-Economia-Agri%CC%81cola-2016.pdf,,https://labtecnosocial.org/explora-bib/urbana/389.jpeg,389.jpeg
390,"Estado de Situación 2016: Bolivia, Seguridad Alimentaria e Infraestructura",2016,Fundación Alternativas,informe,Bolivia,,,,Chan A.,Urbanización boliviana,seguridad alimentaria,https://alternativascc.org/wp-content/uploads/2018/05/Bolivia_Seg-Alimentaria-e-Infraestructura-2016.pdf,,https://labtecnosocial.org/explora-bib/urbana/390.jpeg,390.jpeg
391,Agenda urbana Bolivia. Propuestas comités Populares. Hábitat III,2016,RENASEH,libro,Bolivia,,,,RENASEH,Urbanización boliviana,vivienda,http://35.231.160.168/wp-content/uploads/2021/03/Hacia-habitat-3.pdf,,https://labtecnosocial.org/explora-bib/urbana/391.jpeg,391.jpeg
392,Avances y desafíos de la investigación y la formación en temas urbanos en Bolivia,2016,"IFEA,IRD,PNUD",ensayo,Bolivia,,La cuestión urbana en la región andina. Mirandas sobre la investigación y formación,,Urquieta P.,Urbanización boliviana,investigación urbana,http://35.231.160.168/wp-content/uploads/2021/03/cuestion-urbana-region-andina.pdf,,https://labtecnosocial.org/explora-bib/urbana/392.jpeg,392.jpeg
393,"Caracterización de la infestación de viviendas por Aedes aegypti en el área metropolitana de Cochabamba, Bolivia: nuevos registros altitudinales",2016,Medicina UMSS,articulo de investigación,Bolivia,Cochabamba,Gaceta Médica Boliviana,2,"Aquino E.,Rojas M.,Espinoza J.,Vallejo E.,Lozano D.,Torrico F.",Cochabamba,"vivienda,salud",http://www.scielo.org.bo/scielo.php?pid=S1012-29662016000200005&script=sci_arttext,,https://labtecnosocial.org/explora-bib/urbana/393.jpeg,393.jpeg
394,Aplicabilidad de líquenes bioindicadores como herramienta de monitoreo de la calidad del aire en la ciudad de Cochabamba,2016,UCB,articulo de investigación,Bolivia,,Revista Acta Nova,4,"Gonzales N.,Lujan M.,Navarro G.,Flores R.",Cochabamba,"medio ambiente,calidad del aire",http://www.scielo.org.bo/scielo.php?pid=S1683-07892016000200006&script=sci_arttext,,https://labtecnosocial.org/explora-bib/urbana/394.jpeg,394.jpeg
395,La expansión urbana y la pérdida de tierras agrícolas en el valle central de Cochabamba y Sacaba,2016,Fundación Tierra,articulo de investigación,Bolivia,,,,"de La Fuente M.,Cabrera J.","Cochabamba,Sacaba",mercado de suelo,https://www.researchgate.net/profile/Juan-Cabrera-5/publication/343237010_La_expansion_urbana_y_la_perdida_de_tierras_agricolas_en_el_valle_central_de_Cochabamba_y_Sacaba/links/5f1efd10299bf1720d68700f/La-expansion-urbana-y-la-perdida-de-tierras-agricolas-en-el-valle-central-de-Cochabamba-y-Sacaba.pdf,,https://labtecnosocial.org/explora-bib/urbana/395.jpeg,395.jpeg
396,La dinámica urbana y laboral de la ciudad de El Alto (Bolivia): entre el mercado y la producción social del Hábitat,2016,Población y Sociedad,ensayo,Argentina,Tucumán,Revista Población y Sociedad,23,Diaz M.,El Alto,"vivienda,empleo",https://www.redalyc.org/pdf/3869/386945797002.pdf,,https://labtecnosocial.org/explora-bib/urbana/396.jpeg,396.jpeg
397,La apropiación urbana de los migrantes aymaras en la ciudad de El Alto (Bolivia): Un estudio sobre las dinámicas urbanas y laborales,2016,Dereito Da Cidade,articulo de investigación,Brasil,,Dereito de Cidad,,Diaz M.,El Alto,migración,https://www.e-publicacoes.uerj.br/index.php/rdc/article/view/25486,,https://labtecnosocial.org/explora-bib/urbana/397.png,397.png
398,"""En mí ya termina el quechua"". Aproximaciones al uso lingüístico de hablantes bilingües (quechua-castellano) en el área urbana de Cochabamba, Bolivia",2016,Ibero-Amerikanisches Institut Preußischer,articulo de investigación,Alemania,Berlón,Indiana,33,Hentschel J.,Cochabamba,lengua,https://www.redalyc.org/pdf/2470/247046764006.pdf,,https://labtecnosocial.org/explora-bib/urbana/398.jpeg,398.jpeg
399,Empleo e ingresos en el eje urbano,2016,"Ciudadanía,CERES,Los Tiempos",articulo de investigación,,Cochabamba,"Empleo, agua y medio ambiente en el eje metropolitano",,Laserna R.,"La Paz,Cochabamba,Santa Cruz",empleo,"https://www.ciudadaniabolivia.org/sites/default/files/archivos_articulos/Empleo,%20agua%20y%20medio%20ambiente%20en%20el%20eje%20metropolitano_0.pdf",,https://labtecnosocial.org/explora-bib/urbana/399.jpeg,399.jpeg
400,Jóvenes y empleo: un diagnóstico en las ciudades del eje metropolitano de Bolivia,2016,"Ciudadanía,CERES,Los Tiempos",articulo de investigación,,Cochabamba,"Empleo, agua y medio ambiente en el eje metropolitano",,Barroso J.,"Cochabamba,La Paz,Santa Cruz",empleo,"https://www.ciudadaniabolivia.org/sites/default/files/archivos_articulos/Empleo,%20agua%20y%20medio%20ambiente%20en%20el%20eje%20metropolitano_0.pdf",,https://labtecnosocial.org/explora-bib/urbana/400.jpeg,400.jpeg
401,Determinantes y percepciones de la inclusión financiera en Bolivia,2016,"Ciudadanía,CERES,Los Tiempos",articulo de investigación,,Cochabamba,"Empleo, agua y medio ambiente en el eje metropolitano",,Cuba A.,"Cochabamba,La Paz,Santa Cruz",finanzas,"https://www.ciudadaniabolivia.org/sites/default/files/archivos_articulos/Empleo,%20agua%20y%20medio%20ambiente%20en%20el%20eje%20metropolitano_0.pdf",,https://labtecnosocial.org/explora-bib/urbana/401.jpeg,401.jpeg
402,Vivir en las ciudades,2016,"Ciudadanía,CERES,Los Tiempos",ensayo,,Cochabamba,"Empleo, agua y medio ambiente en el eje metropolitano",,Rivera A.,"Cochabamba,La Paz,Santa Cruz",cultura,"https://www.ciudadaniabolivia.org/sites/default/files/archivos_articulos/Empleo,%20agua%20y%20medio%20ambiente%20en%20el%20eje%20metropolitano_0.pdf",,https://labtecnosocial.org/explora-bib/urbana/402.jpeg,402.jpeg
403,Percepciones sobre la importancia de la información pública en el eje central urbano de Bolivia,2016,"Ciudadanía,CERES,Los Tiempos",articulo de investigación,,Cochabamba,"Empleo, agua y medio ambiente en el eje metropolitano",,"Cuba L.,Loayza D.","Cochabamba,La Paz,Santa Cruz",gestión municipal,"https://www.ciudadaniabolivia.org/sites/default/files/archivos_articulos/Empleo,%20agua%20y%20medio%20ambiente%20en%20el%20eje%20metropolitano_0.pdf",,https://labtecnosocial.org/explora-bib/urbana/403.jpeg,403.jpeg
404,El uso de la bicicleta en las ciudades del eje central boliviano,2016,"Ciudadanía,CERES,Los Tiempos",articulo de investigación,,Cochabamba,"Empleo, agua y medio ambiente en el eje metropolitano",,Rivero Ostoic A.,"Cochabamba,La Paz,Santa Cruz",transporte,"https://www.ciudadaniabolivia.org/sites/default/files/archivos_articulos/Empleo,%20agua%20y%20medio%20ambiente%20en%20el%20eje%20metropolitano_0.pdf",,https://labtecnosocial.org/explora-bib/urbana/404.jpeg,404.jpeg
405,Percepciones y prioridades sobre el medio Ambiente,2016,"Ciudadanía,CERES,Los Tiempos",articulo de investigación,,Cochabamba,"Empleo, agua y medio ambiente en el eje metropolitano",,"Dacosta R.,Moreno D.","Cochabamba,La Paz,Santa Cruz",medio ambiente,"https://www.ciudadaniabolivia.org/sites/default/files/archivos_articulos/Empleo,%20agua%20y%20medio%20ambiente%20en%20el%20eje%20metropolitano_0.pdf",,https://labtecnosocial.org/explora-bib/urbana/405.jpeg,405.jpeg
406,"El uso de los parques, árboles en las grandes ciudades de Bolivia",2016,"Ciudadanía,CERES,Los Tiempos",articulo de investigación,,Cochabamba,"Empleo, agua y medio ambiente en el eje metropolitano",,Laserna S.,"Cochabamba,La Paz,Santa Cruz",medio ambiente,"https://www.ciudadaniabolivia.org/sites/default/files/archivos_articulos/Empleo,%20agua%20y%20medio%20ambiente%20en%20el%20eje%20metropolitano_0.pdf",,https://labtecnosocial.org/explora-bib/urbana/406.jpeg,406.jpeg
407,Percepción de la ciudadanía acerca de la importancia de las áreas verdes y el arbolado urbano en la ciudad de Cochabamba,2016,"Ciudadanía,CERES,Los Tiempos",articulo de investigación,,Cochabamba,"Empleo, agua y medio ambiente en el eje metropolitano",,Benavides J.,Cochabamba,"medio ambiente,arbolado urbano","https://www.ciudadaniabolivia.org/sites/default/files/archivos_articulos/Empleo,%20agua%20y%20medio%20ambiente%20en%20el%20eje%20metropolitano_0.pdf",,https://labtecnosocial.org/explora-bib/urbana/407.jpeg,407.jpeg
408,Percepciones del modelo económico,2016,"Ciudadanía,CERES,Los Tiempos",articulo de investigación,,Cochabamba,"Empleo, agua y medio ambiente en el eje metropolitano",,Laserna R.,"Cochabamba,La Paz,Santa Cruz","recursos naturales,empleo","https://www.ciudadaniabolivia.org/sites/default/files/archivos_articulos/Empleo,%20agua%20y%20medio%20ambiente%20en%20el%20eje%20metropolitano_0.pdf",,https://labtecnosocial.org/explora-bib/urbana/408.jpeg,408.jpeg
409,Violencias e inseguridad ciudadana en la Región Metropolitana de Cochabamba. (VA),2017,CESU - UMSS,reseña,Bolivia,Cochabamba,Decursos,35,"Ramirez A.,Camacho M.",Cochabamba,violencia,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/409.jpeg,409.jpeg
410,La importancia de la investigación universitaria en los estudios urbanos regionales,2017,CESU - UMSS,entrevista,Bolivia,Cochabamba,Decursos,36,Solares H.,La Paz,educación,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/410.jpeg,410.jpeg
411,Una mirada hacia la Segregación Residencial Socioeconomica (SRSE) en Cochabamba,2017,CESU - UMSS,ensayo,Bolivia,Cochabamba,Decursos,36,Torralba M.,Cochabamba,segregación socioespacial,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/411.jpeg,411.jpeg
412,Estigmatización territorial alrededor de las representaciones del peligro y la inseguridad ciudadana en el cercado cochabambino,2017,CESU - UMSS,articulo de investigación,Bolivia,Cochabamba,Decursos,36,Cespedes R.,Cochabamba,imaginarios urbanos,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/412.jpeg,412.jpeg
413,Hábitos y opiniones en Cochabamba,2017,CESU - UMSS,reseña,Bolivia,Cochabamba,Decursos,36,Ramirez A.,Cochabamba,identidad,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/413.jpeg,413.jpeg
414,50 Años de Planificación Urbana en Santa Cruz. La transformación de un pueblo en metrópolis,2017,El País,libro,Bolivia,Santa Cruz,,,Prado F.,Santa Cruz,planificación urbana,https://renaseh-odhva.org/books/50-anos-de-planificacion-urbana-en-santa-cruz-la-transformacion-de-un-pueblo-en-metropolis/,,https://labtecnosocial.org/explora-bib/urbana/414.jpeg,414.jpeg
415,Metropolización: claves para entender su relevancia en el proceso de desarrollo humano,2017,CIDES - UMSA,ensayo,Bolivia,La Paz,Umbrales,32,Perez de Rada E.,"La Paz,Cochabamba,Santa Cruz",metropolización,http://www.cides.edu.bo/index.php/component/content/article/8-publicaciones/revista-umbrales/88-umbrales-n-32?Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/415.jpeg,415.jpeg
416,La dolorosa vía de la metropolización. La Paz: un caso paradigmático,2017,CIDES - UMSA,ensayo,Bolivia,La Paz,Umbrales,32,Urquizo C.,La Paz,metropolización,http://www.cides.edu.bo/index.php/component/content/article/8-publicaciones/revista-umbrales/88-umbrales-n-32?Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/416.jpeg,416.jpeg
417,Metrópolis: Crónica de una institucionalidad frustrada,2017,CIDES - UMSA,ensayo,Bolivia,La Paz,Umbrales,32,Blanco C.,La Paz,metropolización,http://www.cides.edu.bo/index.php/component/content/article/8-publicaciones/revista-umbrales/88-umbrales-n-32?Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/417.jpeg,417.jpeg
418,La zona metropolitana La Paz/El Alto: desequilibrios ecológicos regionales y globales e interdependencias,2017,CIDES - UMSA,ensayo,Bolivia,La Paz,Umbrales,32,Requena C.,"La Paz,El Alto",metropolización,http://www.cides.edu.bo/index.php/component/content/article/8-publicaciones/revista-umbrales/88-umbrales-n-32?Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/418.jpeg,418.jpeg
419,Kanata: de la aldea a la región metropolitana,2017,CIDES - UMSA,ensayo,Bolivia,Cochabamba,Umbrales,32,"Cabrera J.,Torrico E.,Delgado M.",Cochabamba,metropolización,http://www.cides.edu.bo/index.php/component/content/article/8-publicaciones/revista-umbrales/88-umbrales-n-32?Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/419.jpeg,419.jpeg
420,Precariedad laboral y déficit habitacional en el área metropolitana de Cochabamba,2017,CIDES - UMSA,articulo de investigación,Bolivia,Cochabamba,Umbrales,32,Quillaguaman K.,Cochabamba,empleo,http://www.cides.edu.bo/index.php/component/content/article/8-publicaciones/revista-umbrales/88-umbrales-n-32?Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/420.jpeg,420.jpeg
421,Percepción de la calidad de vida en las regiones metropolitanas de Cochabamba,2017,CIDES - UMSA,articulo de investigación,Bolivia,La Paz,Umbrales,32,Nina O.,Cochabamba,calidad de vida,http://www.cides.edu.bo/index.php/component/content/article/8-publicaciones/revista-umbrales/88-umbrales-n-32?Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/421.jpeg,421.jpeg
422,Fandoms. Agrupaciones juveniles seguidoras del K-pop en la ciudad de La Paz,2017,IDIS - UMSA,articulo de investigación,Bolivia,La Paz,Temas Sociales,41,"Copa Uyuni J.,Poma Calle W.",La Paz,geografías urbanas,https://repositorio.umsa.bo/bitstream/handle/123456789/16332/Temas%20Sociales%2041.pdf?sequence=1&isAllowed=y,,https://labtecnosocial.org/explora-bib/urbana/422.jpeg,422.jpeg
423,Ciudades fronterizas de Bolivia: condiciones socioeconómicas y bienestar social,2017,IDIS - UMSA,articulo de investigación,Bolivia,La Paz,Temas Sociales,42,Sanchez Serrano R.,Urbanización boliviana,desigualdad,https://repositorio.umsa.bo/bitstream/handle/123456789/18405/Temas%20Sociales%2042.pdf?sequence=1&isAllowed=y,,https://labtecnosocial.org/explora-bib/urbana/423.jpeg,423.jpeg
424,Déficit habitacional cualitativo: una aproximación para el caso boliviano,2017,UPB,articulo de investigación,Bolivia,,Investigación & Desarrollo. Revista periódica de difusión cientifica,16,Escalera N.,Urbanización boliviana,vivienda,https://www.upb.edu/revista-investigacion-desarrollo/index.php/id/article/view/147,,https://labtecnosocial.org/explora-bib/urbana/424.png,424.png
425,El mercado inmobiliario en el área metropolitana de Cochabamba-Bolivia: características e influencias en la configuración urbana,2017,UPB,articulo de investigación,Bolivia,,Investigación & Desarrollo. Revista periódica de difusión cientifica,17,"Cabrera J.,Cabrera L.",Cochabamba,mercado de suelo,https://www.upb.edu/revista-investigacion-desarrollo/index.php/id/article/view/154,,https://labtecnosocial.org/explora-bib/urbana/425.png,425.png
426,"Hábitat. Vivienda, territorio y Sociedad. Análisis y reflexiones de los resultados del censo de población y vivienda en las regiones metropolitanas de Bolivia",2017,"renaseh,CEP,IIACH - UMSS",cartilla,Bolivia,Cochabamba,,,"Blanco V.,Camacho M.,Jimenez S.,Quillaguaman K.,Veizaga J.","Cochabamba,La Paz,Santa Cruz",vivienda,http://35.231.160.168/wp-content/uploads/2021/03/Cuaderno1_Renaseh.pdf,,https://labtecnosocial.org/explora-bib/urbana/426.jpeg,426.jpeg
427,Incidencia en políticas públicas: producción social de la vivienda y el hábitat,2017,RENASEH,cartilla,Bolivia,,,,RENASEH,Urbanización boliviana,vivienda,http://35.231.160.168/wp-content/uploads/2021/03/BROCHURE-renaseh.pdf,,https://labtecnosocial.org/explora-bib/urbana/427.jpeg,427.jpeg
428,"Inventario de emisiones de fuentes móviles con una distribución espacial y temporal para el área metropolitana de Cochabamba, Bolivia",2017,UCB,articulo de investigación,Bolivia,Cochabamba,Revista Acta Nova 8,3,"Calla L.,Lujan M.",Cochabamba,energía,http://www.scielo.org.bo/scielo.php?pid=S1683-07892018000100005&script=sci_arttext,,https://labtecnosocial.org/explora-bib/urbana/428.jpeg,428.jpeg
429,Metropolización en la región de La Paz y El Alto,2017,Stigma,libro,Bolivia,La Paz,,,"Sainz J.,Calle V.","La Paz,El Alto",metropolización,https://issuu.com/vaniacalle/docs/metropoli,,https://labtecnosocial.org/explora-bib/urbana/429.png,429.png
430,Por esos lugares no camino... Reflexiones teórica-conceptuales sobre violencia e inseguridad ciudadana en procesos urbanos. (VA),2018,CESU - UMSS,reseña,Bolivia,Cochabamba,Decursos,34,Ramirez A.,Cochabamba,inseguridad ciudadana,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/430.jpeg,430.jpeg
431,"Evaluación de la viabilidad económica de Sistemas de Generación fotovoltaica para áreas urbanas de Bolivia, basada en 6 casos de estudio",2018,CESU - UMSS,articulo de investigación,Bolivia,Cochabamba,Decursos,37,"Fernandez Vasquez C.,Fernandez Fuentes M.","La Paz,Cochabamba,Santa Cruz",energía,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/431.jpeg,431.jpeg
432,La agricultura urbana y periurbana en Bolivia. Procesos de construcción colectiva para una agenda común de la agricultura urbana y periurbana en Bolivia (VA),2018,CESU - UMSS,reseña,Bolivia,Cochabamba,Decursos,37,Crespo C.,Urbanización boliviana,agricultura urbana,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/432.jpeg,432.jpeg
433,Jóvenes y Empleo. Un estudio a partir de una muestra en las ciudades de Bolivia,2018,Hans Seidel Stifung,libro,Bolivia,La Paz,,,Corzo R.,"La Paz,Cochabamba,Santa Cruz",empleo,https://jichha.blogspot.com/2018/05/jovenes-y-empleo-un-estudio-partir-de.html,,https://labtecnosocial.org/explora-bib/urbana/433.jpeg,433.jpeg
434,"Un estudio sobre jóvenes migrantes en una ciudad andina de América Latina: La dinámica urbano-rural en El Alto, Bolivia",2018,"CIDES - UMSA,Asociación de Estudios Bolivianos,Plural,IRD,Unicef",articulo de investigación,Bolivia,La Paz,Revista Boliviana de Investigación,13,Diaz M.,El Alto,migración,http://www.cides.edu.bo/index.php/component/content/article/34-publicaciones/otras-publicaciones/447-revista-boliviana-de-investigacion-vol-13?Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/434.jpeg,434.jpeg
435,"Trayectorias infantiles y juveniles en la Amazonía boliviana. Educación, trabajo y movilidades rural-urbanas en el Beni",2018,CIDES - UMSA,articulo de investigación,Bolivia,La Paz,Revista Boliviana de Investigación,13,"Lewandowski S.,Urquieta P.,Cavagnoud R.",Trinidad,niñez,http://www.cides.edu.bo/index.php/component/jdownloads/?task=download.send&id=301&catid=17&m=0&Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/435.jpeg,435.jpeg
436,La crisis del agua en La Paz: cambios y racionamiento del agua,2018,IDIS - UMSA,articulo de investigación,Bolivia,La Paz,Temas Sociales,43,Perales V.,La Paz,agua,https://repositorio.umsa.bo/bitstream/handle/123456789/25976/TEMAS.SOCIALES.%2043.pdf?sequence=2&isAllowed=y,,https://labtecnosocial.org/explora-bib/urbana/436.jpeg,436.jpeg
437,La Paz en el torbellino del progreso. Transformaciones urbanas en la era del cambio en Bolivia,2018,Instituto de Investigaciones Sociales UNAM,libro,México,Ciudad de México,,,Suarez H.,La Paz,historia,http://ru.iis.sociales.unam.mx:8080/jspui/bitstream/IIS/5487/2/la_paz_torbellino_prog.pdf,,https://labtecnosocial.org/explora-bib/urbana/437.jpeg,437.jpeg
438,Ganadores y perdedores. Actores sociales ganadores y perdedores de la región metropolitana cruceña en los 12 años de proceso de cambio,2018,CEDURE,libro,Bolivia,Santa Cruz,,,Prado F.,Santa Cruz,metropolización,https://es.scribd.com/document/415409136/Libro-Ganadores-y-perdedores-de-Fernando-Prado-Salmon,,https://labtecnosocial.org/explora-bib/urbana/438.jpg,438.jpg
439,Análisis de situación de las políticas sobre hábitat urbano y vivienda en Bolivia,2018,UNITAS,libro,Bolivia,La Paz,,,"Pereira Morato R.,Lopez Fernandez D.",Urbanización boliviana,vivienda,https://redunitas.org/wp-content/uploads/2019/03/LIBRO1.pdf,,https://labtecnosocial.org/explora-bib/urbana/439.jpeg,439.jpeg
440,"Fragmentación urbana por medio de redes de agua: el caso de Cochabamba, Bolivia",2018,Universidad del Rosario,articulo de investigación,Bolivia,,Territorios,39,Cabrera J.,Cochabamba,"agua,fragmentación urbana",https://renaseh-odhva.org/wp-content/uploads/2021/04/0123-8418-terri-39-00203.pdf,,https://labtecnosocial.org/explora-bib/urbana/440.jpeg,440.jpeg
441,"Bienes y servicios producidos por árboles urbanos, el caso de organización Territorial de Base (OTB) ""El Progreso"" Municipio Cochabamba",2018,DICyT,libro,Bolivia,Cochabamba,,,Mamani V.,Cochabamba,arbolado urbano,http://ddigital.umss.edu.bo:8080/jspui/handle/123456789/10816,,https://labtecnosocial.org/explora-bib/urbana/441.jpeg,441.jpeg
442,Los desafíos de la desigualdad urbana. Agua y conflictos territoriales en el municipio de La Paz,2019,CIDES - UMSA,ensayo,Bolivia,Bolivia,Bolivia en el siglo XXI. Transformaciones y desafíos,,Urquieta P.,La Paz,"agua,desigualdad",http://www.cides.edu.bo/index.php/component/jdownloads/?task=download.send&id=225&catid=31&m=0&Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/442.jpeg,442.jpeg
443,"""Una pata en la chacra y una en el mercado"" Multiactividad y reconfiguración rural en La Paz",2019,CIDES - UMSA,libro,Bolivia,La Paz,,,"Tassi N., Canedo M.",La Paz,multilocalidad,http://www.cides.edu.bo/index.php/component/jdownloads/?task=download.send&id=220&catid=19&m=0&Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/443.jpeg,443.jpeg
444,Crónica de un distrito anunciado: trayectorias laborales de comideras en un macrodistrito paceño,2019,IDIS - UMSA,articulo de investigación,Bolivia,La Paz,Temas Sociales,44,Vera Zegarra M.,La Paz,empleo,https://repositorio.umsa.bo/bitstream/handle/123456789/25977/Temas%20Sociales%20.%2044.pdf?sequence=1&isAllowed=y,,https://labtecnosocial.org/explora-bib/urbana/444.jpeg,444.jpeg
445,Interacción y límites sociales: imaginarios en el centro comercial Megacenter,2019,IDIS - UMSA,articulo de investigación,Bolivia,La Paz,Temas Sociales,45,Leon Salinas J.,La Paz,imaginarios urbanos,https://repositorio.umsa.bo/bitstream/handle/123456789/25978/Temas%20Sociales%2045.pdf?sequence=1&isAllowed=y,,https://labtecnosocial.org/explora-bib/urbana/445.jpeg,445.jpeg
446,Los artesanos del transporte en El Alto. De q'ipiris a minitransportistas,2019,IDIS - UMSA,reseña,Bolivia,La Paz,Temas Sociales,45,Llanos Layme D.,El Alto,empleo,https://repositorio.umsa.bo/bitstream/handle/123456789/25978/Temas%20Sociales%2045.pdf?sequence=1&isAllowed=y,,https://labtecnosocial.org/explora-bib/urbana/446.jpeg,446.jpeg
447,La basura también da plata: dos rutas del reciclaje paceño,2019,IDIS - UMSA,reseña,Bolivia,La Paz,Temas Sociales,45,Murillo M.,La Paz,"residuos,empleo",https://repositorio.umsa.bo/bitstream/handle/123456789/25978/Temas%20Sociales%2045.pdf?sequence=1&isAllowed=y,,https://labtecnosocial.org/explora-bib/urbana/447.jpeg,447.jpeg
448,L@s chol@s de Chuquiago,2019,IDIS - UMSA,reseña,Bolivia,La Paz,Temas Sociales,45,Paucara Condori L.,La Paz,identidad,https://repositorio.umsa.bo/bitstream/handle/123456789/25978/Temas%20Sociales%2045.pdf?sequence=1&isAllowed=y,,https://labtecnosocial.org/explora-bib/urbana/448.jpeg,448.jpeg
449,Espacio(s) público(s). Recomposiciones y prácticas urbanas en Cochabamba,2019,"IIACH - UMSS,Facultad de Arquitectura - UMSS",libro,Bolivia,Cochabamba,,,"Loza A.,Anaya M.",Cochabamba,espacio público,https://issuu.com/andresloza/docs/espacios_publicos_web,,https://labtecnosocial.org/explora-bib/urbana/449.png,449.png
450,Producto intermedio. Producción residencial y fragmentación urbana en Cochabamba,2019,IIACH - UMSS,ensayo,Bolivia,,,,Anaya M.,Cochabamba,fragmentación urbana,https://drive.google.com/file/d/1Et1WJu4FHJvV7-quv1x8X1HoN44kKbLN/view,,https://labtecnosocial.org/explora-bib/urbana/450.jpeg,450.jpeg
451,"Lo urbano, la propiedad y la producción legislativa en Bolivia: una lectura desde el derecho urbanístico",2019,UPB,ensayo,Bolivia,,,18,Cabrera J.,Urbanización boliviana,mercado de suelo,https://www.upb.edu/revista-investigacion-desarrollo/index.php/id/article/view/185,,https://labtecnosocial.org/explora-bib/urbana/451.png,451.png
452,Pequeños negocios inclusivos de poblaciones vulnerables en la ciudad de Cochabamba,2019,UCB,libro,Bolivia,Cochabamba,,,"Arze B.,Basto S.,Cabero R.,Delgadillo J.,Fernandez G.,Gutierrez O.,Maldonado L.,Martinis M.,Melgar M.,Navarro J.,Perez A.,Tames V.,Valero L.",Cochabamba,comercio,http://repositorio.ucb.edu.bo/xmlui/bitstream/handle/20.500.12771/255/Libro%20Peque%c3%b1os%20negocios%20VLIR.pdf?sequence=1&isAllowed=y,,https://labtecnosocial.org/explora-bib/urbana/452.jpeg,452.jpeg
453,Conceptos fundamentales de la biomímesis y la regeneración arquitectónica,2019,FAADU - UMSA,ensayo,Bolivia,,Biomímesis y regeneración en la arquitectura. Workshop Internacional,,Jimenez N.,Urbanización boliviana,biomímesis,https://issuu.com/vaniacalle/docs/biomimesis_y_regeneraci_n_en_la_arquitectura,,https://labtecnosocial.org/explora-bib/urbana/453.png,453.png
